                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.94209,                0.55381,                 1.2255,                0.91452,                0.78014,                  0.881,                0.48835,                 1.6029,                0.84157,                 1.8862,             0.00034175,             0.00034175,             0.00034175
                     70,                0.91614,                0.54123,                 1.2078,                0.91666,                0.80142,                0.89512,                0.50869,                 1.6019,                0.81306,                 1.8703,               0.000317,               0.000317,               0.000317
                     71,                0.90649,                0.53465,                 1.1975,                0.90984,                0.78727,                0.89149,                0.50811,                 1.5874,                0.81995,                 1.8456,             0.00029225,             0.00029225,             0.00029225
                     72,                0.90285,                0.53152,                 1.1991,                0.91725,                0.78723,                0.88187,                0.49438,                 1.6103,                0.86612,                 1.8579,              0.0002675,              0.0002675,              0.0002675
                     73,                0.89112,                0.53664,                 1.1997,                0.91779,                0.79179,                0.87745,                0.50221,                 1.6181,                0.85185,                 1.8852,             0.00024275,             0.00024275,             0.00024275
                     74,                0.88135,                0.52273,                 1.1673,                0.90347,                 0.7966,                 0.8891,                0.49787,                 1.6259,                0.84335,                 1.8974,               0.000218,               0.000218,               0.000218
                     75,                0.86075,                0.51458,                 1.1547,                0.91852,                0.79956,                 0.8769,                0.49824,                 1.6237,                0.83149,                 1.8925,             0.00019325,             0.00019325,             0.00019325
                     76,                 0.8644,                0.49797,                 1.1641,                0.91652,                0.77861,                0.88706,                0.50235,                 1.6306,                0.82691,                 1.8972,              0.0001685,              0.0001685,              0.0001685
                     77,                0.85527,                0.49592,                 1.1614,                0.93225,                0.78723,                0.89549,                0.50253,                 1.6364,                0.82418,                 1.8986,             0.00014375,             0.00014375,             0.00014375
                     78,                0.83385,                0.50875,                 1.1488,                0.90837,                0.80851,                0.89074,                0.49436,                 1.6463,                0.83027,                 1.9219,               0.000119,               0.000119,               0.000119
                     79,                0.86605,                0.51675,                 1.1739,                0.90651,                0.79433,                0.88578,                0.50204,                 1.6328,                0.83017,                  1.921,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.85153,                0.50062,                 1.1796,                0.88489,                0.81783,                0.88509,                0.50107,                 1.6279,                0.81864,                 1.9156,               6.95e-05,               6.95e-05,               6.95e-05
